@relation TrainingData

@attribute text string
@attribute class {FAKE, REAL}

@data
"Venezuela crisis enters dangerous phase as Maduro foes go militant", FAKE
"Rivals pile on Trump in Republican candidates’ debate", REAL
"The Reopening Of The Clinton Email Investigation Is More GOP Hype Over Nothing", FAKE
"What WikiLeaks hack says about Clinton: Our view", REAL
"NY police investigate possible sighting of escaped prisoners", REAL
"NBA Team Cancels Anthem Singer After She Tries Wearing Controversial Race Shirt Onto Court", FAKE
"I thought I was just scared of Trump – but it’s his America I fear", FAKE
"Seth Meyers Takes ‘A Closer Look’ At The GOP’s Threats Against Hillary And It’s Terrifying! (VIDEO)", FAKE
"Who had to go :-)", FAKE
"2016 latest: Spirit of Christmas to be replaced with ‘Every man for himself’. More soon.", FAKE
"Opinion: Face it, Trump on course for nomination", REAL
"There is no nationwide crime wave (and police killings are not up)", REAL
"This astonishing chart shows how moderate Republicans are an endangered species", REAL
"Patriot Act debate highlights ‘stark’ differences between 2001, 2015 views", REAL
"Why raising the Social Security retirement age really does hurt the poor the most", REAL
"Public Support for the Euro", FAKE
"The Ruthlessly Effective Rebranding of Europe’s New Far Right", FAKE
"Here Are Six ‘Miracle’ Drugs Big Pharma Now Regrets - Truthdig", FAKE
"Leaked email shows Monsanto Executive V.P. invited to 'Hillraiser' fundraiser to put Clinton into the White House for Monsanto's benefit", FAKE
"The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL", FAKE
"Democratic candidates exhibit a new ferocity in last debate before N.H. vote", REAL
"Watch: Rigged Voting Machine Will Not Allow Vote For Trump/Pence… “Stuck” On Clinton/Kaine", FAKE
"BRINK OF WAR: UK sends TANKS, DRONES and 800 SOLDIERS to Russian border as tensions grow", FAKE
"We Republicans Lost On Gay Rights. That’s A Good Thing.", REAL
"Thanksgiving at Standing Rock", FAKE
"Green Party’s Margaret Flowers Challenges US Senate Debate in Maryland as Undemocratic", FAKE
"Cruz's immigration gambit", REAL
"Newsnight trolled the Tory MP who called for the BBC to play God Save The Queen at the end of each day", FAKE
"Swansea City ‘will win Premier League at a canter’ confirm pollsters", FAKE
"GOP Debate Round 3: Expect Another Wild Night", REAL
"Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack", REAL
"Donald Trump Is The King Of Russian Spies", FAKE
"Facebook user wastes two hours sharing things to impress his insurance company", FAKE
"TOO MANY MILLENNIALS ARE COOL WITH COMMUNISM", FAKE
"The United States Is Pre-Positioning “Enemy Assets” In Preparation For A Rigged Election", FAKE
"First take: A great jobs report for investors", REAL
"10 Ways America Is Preparing for World War 3", FAKE
"Wikileaks: Clinton, Podesta Agreed Not To Distribute Confidential Intel By Private Email Account", FAKE
"How this WWII airman is helping veterans heal with the help of 4-legged friends", FAKE
"Trumpâ€™s Proposed Student Loan Program Makes Him Look More Liberal Than Obama, Republicans Fuming", FAKE
"ISIS shoots down Russian helicopter near Palmyra (VIDEO+PHOTOS)", FAKE
"Huma may have violated ‘legal obligation’ regarding classified info, FOIA request shows", FAKE
"Carly Fiorina: Ted Cruz says 'whatever' to get elected", REAL
"How Hillary Clinton lost young (white) women", REAL
"Trump manager says 'undercover voters' will deliver win in US election", REAL
"Donald Trump doesn’t want to make America great. He wants to make it afraid.", REAL
"The White House Easter Egg Roll exists because Congress banned fun", REAL
"New Saudi king ascends to the throne as terrorism threat grows", REAL
"Which Communities Are Most Divided on Gay Marriage?", REAL
"The Masquerade Ball: Fall’s Ghosts and Our Election Farce", FAKE
"Does the Road to the White House Run Through Gary Johnson's New Mexico?", REAL
"Anonymous: Hillary Could Be In Handcuffs In 72 Hours!", FAKE
"Echoes of Charlie Hebdo in attack on Texas Muhammad cartoon event (+video)", REAL
"Thanksgiving lessons for the Syrian refugee debate", REAL
"Trump Makes Last-Minute Push To Appeal To Whites - The Onion - America's Finest News Source", FAKE
"Sniff your underarms and tell us if you stink...", FAKE
"Russia And NATO Engage In One Of The Largest Military Build-Ups Since The Cold War", FAKE
"These Blast Points on Hillary's Campaign... Only The Deep State Is So Precise", FAKE
"Another Project Veritas Bombshell: Pro-Clinton PAC Accepts Foreign Donations", FAKE
"If You're Tired of Carving Pumpkins the Old-Fashioned Way, Try It Like This Gal--with a .22 Rifle", FAKE
"Senators pledge to amend House bill after some NSA powers halted", REAL
"Angry right’s secret playbook: How it uses a good story to peddle an agenda America hates", REAL
"Blood money, killer cops: How privatization is funding the racist logic of America’s police", REAL
"Trump or Clinton - Life or Death", FAKE
"Blame Government, Not Markets, for Monopoly", FAKE
"UNsilenced: Whistleblower Exposes UN Culture of Corruption", FAKE
"How to Build a Prepper’s Medical Emergency Kit on a Budget", FAKE
"The First Space Photo Of Earth - Shot From A Third Reich Rocket In 1946", FAKE
"Contaminated food from China now entering the U.S. under the 'organic' label", FAKE
"Why Trump's talk of a rigged vote is so dangerous", REAL
"Cuba has a possible lung cancer vaccine that America can now test", REAL
"Cruz is as bad as Trump and maybe worse: Column", REAL
"Political pundits talk polarization at Sanford School Tuesday", REAL
"The True Scandal of 2016 Was The Torture of Chelsea Manning     :", FAKE
"GOP and Abortion in Age of ObamaCare: Time for new strategy", REAL
"In rush to reclaim Yemen, exiled leaders risk fracturing it", REAL
"Pope Francis Commemorates 500th Anniversary Of Protestant Reformation", FAKE
"Podesta To Mills: “We Are Going To Have To Dump All Those Emails”", FAKE
"Super Tuesday Brings Harsh Light And Heartaches On The Morning After", REAL
"GOP Senator Silences the Entire Room With Remark About War Hero Opponent's Heritage at Debate", FAKE
"The Disappearing Middle: Electorate Way Less Moderate Than Past Primaries", REAL
"Maryland has passed one of the nation’s strongest equal pay laws", REAL
"‘Like Warsaw ghetto’: Attendees attacked, surrounded at Israeli speaker event at London university", FAKE
"After vowing to end two wars, Obama may leave three behind", REAL
"After a terrible week Trump sticks with style over substance in Wisconsin", REAL
"Hillary Clinton explains why she won't say 'radical Islam'", REAL
"Rural Nepal devastated by earthquake still awaits aid", REAL
"Freeing Yourself From Overwhelm", FAKE
"The path to total Dictatorship: America’s Shadow Government and its silent coup", FAKE
"Culchie Tries To Explain Rules Of 25 One More Time", FAKE
"Public vs. Media on War", FAKE
"New math: Where Trump, Clinton stand after primary victories", REAL
"The no-transparency election", REAL
"The Daily 202: Many African Americans unenthusiastically ‘settle’ for Hillary Clinton", REAL
"DNC Head Leaked 2nd Debate Question to Hillary", FAKE
"France Plans to Implement Universal Biometric IDs", FAKE
"Juicing May Be the Answer to Many of Your Chronic Health Problems", FAKE
"Putin: Russia Is Not Going To Attack Anyone", FAKE
"2017 Stock Market Crash? Eric Dubin on Markets and the Election Shocker", FAKE
"What is going on with WikiLeaks?", FAKE
"BUSTED: Eric Trump Admits Daddy ‘Started The Conversation’ About Obama’s Birth Certificate (AUDIO)", FAKE
"Reasons to Risk Nuclear Annihilation", FAKE
"'America is already strong': Obama continues Democrats' optimism", REAL
"A new 50-state poll shows exactly why Clinton holds the advantage over Trump", REAL
"Company that Supplied Voting Machines to 22 States Donated to Clinton Foundation", FAKE
"We don’t just need to see Trump’s taxes — we need a real medical report on him", REAL
"US General: Warplanes Will Kill Fleeing ISIS Fighters Around Mosul", FAKE
"Head Of Medicare, Who Oversaw Obamacare Rollout, Will Step Down", REAL
"Hillary Clinton’s push on gun control marks a shift in presidential politics", REAL
"What happened to Carly Fiorina's presidential hopes? (+video)", REAL
"Clinton Network Concerned About Teneo’s Consulting Behavior", FAKE
"It’s Rigged! Voters Discover Shocking Mistake On Ballots: Don’t Let This Happen To You!", FAKE
"What 'Draw Muhammad' shootings say about Islamic State reach (+video)", REAL
"Don't underestimate Bernie Sanders", REAL
"Huma Abedin’s Muslim Dad", FAKE
"BREAKING: Trump VP Plane Slides Off Runway at LaGuardia Airport in NYC!", FAKE
"Charleston exposes ugliest truth of our time: Our society places little value on black life", REAL
"Clinton aide key focus in FBI server investigation", REAL
"Poll finds Ben Carson knocks Donald Trump from top spot nationally", REAL
"Saudi Arabia to behead disabled man for taking part in protests", FAKE
"Alabama Lawmaker: Same-Sex Couples Don’t Deserve Same Financial Benefits As Other Families", REAL
"Trump Gives Victory Speech, Liberals Rediscover Appeal of Limited Government", REAL
"Inside the swing-state playbooks", REAL
"Democrats clash over immigration at Florida debate", REAL
"Glenn Reynolds: Donald Trump is the response to a bullying culture", REAL
"Cruz, Kasich campaign announce collaboration to deny Trump delegates", REAL
"Takeaways from the Republican debate", REAL
"Refugee Resettlement Watch: Swept Away In North Carolina", FAKE
"The 8 Biggest Threats to Humanity Exposed", FAKE
"Agencies of Fear", FAKE
"The system set Boehner up for failure", REAL
"Donald Trump Begs Hillary Clinton Early Voters to Change Their Votes", FAKE
"Massive marine park declared in Antarctic Ocean", FAKE
"Mudslide on major highway in Colombia kills at least 6", FAKE
"Bernie has already won the future of the Democratic Party", REAL
"John McCain Withdraws Support of Donald Trump", REAL
"US Votes 'No' As UN Adopts Landmark Resolution Calling to Ban Nuclear Weapons", FAKE
"Blind Mystic Who Predicted 9/11 Has Bad News About Trump", FAKE
"MARKETWATCH LEFTIST: MSM’s “Blatant” Anti Trump Bias May Be Suicidal", FAKE
"Trump Suffers Bizarre Memory Disorder: Says He Always Opposed Obamacare (VIDEO)", FAKE
"Combat Obesity with a Balance of Omega-3 and Omega-6", FAKE
"Our new country: Women and minorities hit hardest", FAKE
"Carson Doubles Down on 'Muslim' Comments: 'Sharia Inconsistent with Constitution'", REAL
"Millennials ‘Search for Truth’ on Election but Distrust Media, Intelligence Firm Reports", FAKE
"TRUMP TSUNAMI INCOMING: What Trump Did In Florida Today Will Make Him President!", FAKE
"Trump doesn’t have a national campaign. So the GOP is trying to run one for him.", REAL
"Here’s how a wealthy Trump supporter could give $783,400 to support his campaign and the RNC", REAL
"Lynch faces Congress in attorney general hearing", REAL
"Biden takes his pre-campaign to Clinton’s turf", REAL
"Jeb seeks to shake shadow of Bush family name", REAL
"3 reasons the economy boomed in 2015", REAL
"The biggest thing Iran deal critics get wrong, in one paragraph", REAL
"What is going on with WikiLeaks?", FAKE
"With a bullet: Oil prices headed to the basement", REAL
"Defense Bill Would Put 100,000 Untraceable Guns On Streets", REAL
"Hillary’s “Big Tent” is Obama’s “Grand Bargain” on Steroids", FAKE
"From downed Russian jet, hard lessons about destroying Islamic State", REAL
"Immigration crackdown splits GOP", REAL
"Rand Paul is flatlining", REAL
"Who rules the world? America is no longer the obvious answer", REAL
"Comment on Congress: Attorney General Lynch ‘Pleads Fifth’ on Secret Iran ‘Ransom’ Payments by marlene", FAKE
"The Real Reason Obamacare is Coming Unglued", FAKE
"Liberal media mocks Republican presidential candidates with clown car diss", REAL
"Will Obama recognize Palestinian state?", FAKE
"Michael Moore’s ‘Morning After To-Do List’ Is Going Viral – Maybe This Time We Will Listen", FAKE
"Clinton’s Policy On Syria Will Lead To WW3 Says Trump", FAKE
"Top US lawmakers strike deal to fast-track trade deals", REAL
"Why It’s Necessary To Relax Into A Stretch", FAKE
"Why Netanyahu is confronting the White House", REAL
"MSNBC’s year of standing up straight", REAL
"Why are these candidates losing the GOP race so far?", REAL
"GOP hits back at fracking rules", REAL
"Clinton debate performance enough to keep Biden on sidelines?", REAL
"Russia begins airstrikes in Syria, U.S. warns of new concerns in conflict", REAL
"Trump makes biggest ad buy to date, hammers Clinton on economy", REAL
"Trump tries to reset with economic speech — but faces new resistance in GOP", REAL
"Kentucky Clerk's Office Issues Same-Sex Marriage License", REAL
"Fact checking the fourth round of GOP debates", REAL
"ICE Agent Commits Suicide in NYC, Leaves Note Revealing Gov’t Plans to Round-up & DISARM Americans During Economic & Bank Collapse | EndingFed News Network", FAKE
"New Study Shows Riots Make America Conservative", REAL
"The Political Songs Of Leonard Cohen", FAKE
"State Department: No record of Clinton signing 'separation' form", REAL
"Ex-military intel officer says White House delaying announcement of Bergdahl desertion charge", REAL
"Obamacare Enrollees Anxiously Await Supreme Court Decision That Threatens Their Coverage", REAL
"Compromises being reached in Iran talks", REAL
"Christie Hides $800,000 in Travel Bills", REAL
"Campaign finance laws may be making political polarization worse by encouraging ‘purist’ donors.", REAL
"UK Doctors Create List of Procedures You Don’t Need", FAKE
"Russian warships ready to strike terrorists near Aleppo", FAKE
"BREAKING : LGBT Group Endorses Trump, Says, “Hillary is Detrimental for Gays” – TruthFeed", FAKE
"Stronger together? Yes, Mrs. Clinton, but what does 'together' really mean?", REAL
"The Debate I Heard", REAL
"Surprised About Donald Trump's Popularity? You Shouldn't Be", REAL
"Walling them out, or walling us in?", FAKE
"Booze Brands Polarize Just Like Politicians", REAL
"Officials State New Clinton Emails Discovered as Part of Anthony Weiner ‘Sexting’ Investigation", FAKE
"Biden Explains Why Hillary Set Up Her Email Server (This Doesn’t Help Her)", FAKE
"Clinton, Trump at First Debate: Was It All America Expected?", REAL
"Comment on What Hath Trump Wrought? by Pat Buchanan", FAKE
"Top Aide to Hillary Clinton Urges the FBI to Disclose what it Knows about Trump's Russia Ties", FAKE
"The Chinese Who Saw the Perils of Westernization", FAKE
"4 Times As Many Americans Think Biased U.S. Media – Not Foreign Interests Such As Russian Hackers – Real Threat To Fair Election", FAKE
"Netanyahu warns Iran deal could 'threaten the survival' of Israel", REAL
"CLINTON: I’D ADD MICHELLE OBAMA TO MY CABINET", FAKE
"Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election", FAKE
"How To Lower Blood Pressure Naturally", FAKE
"Heroic Prego Advertisement Replaces Refreshed Webpage’s Presidential Campaign Banner - The Onion - America's Finest News Source", FAKE
"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US", FAKE
"Comment software has been rolled back to old version", FAKE
"Baltimore protests: Crowds stand firm after curfew", REAL
"Say What?! FBI Never Destroyed Laptops of Clinton Aides – AGENTS REFUSED TO DO IT", FAKE
"The illuminati card ‘Enough Is Enough’ a harbinger of things to come?", FAKE
"Jeb Bush Smoked Marijuana, Bullied Other Students In High School", REAL
"Rand Paul is just hilariously trolling Republicans now — and inadvertently revealing the two words behind the GOP’s biggest lie", REAL
"From Pauper to A-List Princess, Anna Kendrick Reveals She Was Once 'Too Poor' To Buy Shoes for Oscars", FAKE
"Dem insiders: Sanders failed to dent Clinton", REAL
"Obama seeks to calm fears over terrorism ahead of holiday season", REAL
"Insiders: Rubio wins, Kasich bombs", REAL
"Has Hillary Clinton Outstayed Her Welcome?", REAL
"Downing of Russian plane reveals potential for more conflict", REAL
"Comment on Facebook Daughter’s Day Hoax Is A Sign Of The Times by para kazanmak", FAKE
"Brothers ID'd as suicide bombers in Belgium", REAL
"Gauis Publius: TPP Has Picked Up a Powerful Enemy — Black Lives Matter", FAKE
"Electric Floors Could Generate Renewable Energy From Walking", FAKE
"Donnie’s little lies are yuuuge: Trump has redefined what it means to be deceitful on the campaign trail", REAL
"Obama likely to make economic recovery a centerpiece of State of the Union address", REAL
"Guardian Front Page: “A 16-Year-Old Migrant Cries…”", FAKE
"His Fans Are Calling Trump Brave, But Here’s How Hillary Faced Down Man Who Stormed Stage (VIDEO)", FAKE
"Libertarian ticket eyes post-convention opening – and debate stage", REAL
"Gay and lesbian troops will be protected by new Pentagon policy", REAL
"WALL STREET JOURNAL JUST EXPOSED EXACTLY HOW & HOW MUCH IT COST HILLARY To BRIBE The FBI to AVOID CHARGES!", FAKE
"Poll: 6 in 10 Back Renewal of NSA Data Collection", REAL
"Primary election: What to watch on Super Tuesday 2", REAL
"Gold prices grow by $60 as Trump wins, US dollar trashed", FAKE
"Constitutional Law Expert: Comey Did NOT Violate Law By Announcing Email Investigation", FAKE
"VIDEO COMPILATION: Pundits and Politicians Insist Donald Trump Cannot Win Election", FAKE
"Farming Invented Many Times by Many Different Farmers Over A Vast Landscape. @CarlZimmer. @NYTimes. - Russia News Now", FAKE
"Dakota Access pipeline protesters occupy Hillary Clinton campaign HQ", FAKE
"Hillary Clinton Cancels Campaign Events Following Pneumonia Diagnosis", REAL
"Bernie Sanders: The Democratic primary gave me ‘leverage I intend to use’ to pressure Hillary Clinton", FAKE
"End of the World? Italy Devastated By Series of Major Earthquakes", FAKE
"New Solar Panels Pull Drinking Water From The Air Because Clean Water Is A Human Right", FAKE
"According to this college prof, canoes are symbol of cultural appropriation", FAKE
"Kasich Affirms Path to Legal Status for Undocumented Immigrants", REAL
"Soy should not be consumed in significant quantities unless it has been fermented or otherwise traditionally processed, industrially processed soy should be avoided", FAKE
"Is Global Warming “An Inconvenient Lie”?", FAKE
"Nuclear weapons question", FAKE
"Democrats propose Internet voting in 2016, making Republicans also consider the idea", REAL
"2 killed, 8 terror suspects held in France terror raid", REAL
"Obama's terror strategy is failing: US must heed lessons of 9/11", REAL
"Walmart Goes Against The Grain Of Obama’s America With New Thanksgiving Ad", FAKE
"JUST IN: Trump Camp Caught On Cam Bragging Of “Voter Suppression” Against Women & Blacks (VIDEO)", FAKE
"September New Homes Sales Rise——-Back To 1992 Level!", FAKE
"Hillary and the Ghosts of Watergate", FAKE
"AUSTRIAN DISGRACE: No jail for Muslim migrant who dumped his own baby in the middle of the road after he got drunk and enraged", FAKE
"As Crooked HIllary Investigation Reopens, Democrat Cities Push To Allow Illegal Immigrants Voting", FAKE
"Rise of the Alt-Right", FAKE
"Illinois Senator Draws Fire for Racially Charged Attack on Opponent’s Family", FAKE
"Republican convention’s ‘non-conventional’ list: Model, astronaut and Trump clan", REAL
"Investors Intelligence Says Here Is The Key To A Turnaround In Gold & Silver!", FAKE
"Regardless of who wins the confirmation battle, the big loser is the Supreme Court", REAL
"Trump, Clinton meet again at 'humorous' Al Smith dinner", REAL
"America is criminalizing Black teachers: Atlanta’s cheating scandal and the racist underbelly of education reform", REAL
"In Bronx, Sanders voters find more common ground with Trump than Clinton", REAL
"James Bond wouldn’t make the grade in modern MI6, says Britain’s top spy", FAKE
"Trump campaign woes intensify amid questions over Melania's visa – as it happened", REAL
"Trump Loves 'the Poorly Educated' ... and Social Media Clamors", REAL
"Susan Rice: U.S. Must Integrate LGBT Rights into Gov’t and Foreign Policy", FAKE
"How Instagram Becomes Backbone for Businesses", FAKE
"Why A Vote For An Establishment Candidate Could Be A Vote For Trump In N.H.", REAL
"Boston bombing trial plea deal fails", REAL
"Cypriot leaders to continue talks in November: UN", FAKE
"Insurers use California’s assisted-suicide law to deny treatment for terminal patients", FAKE
"Gas prices aren't forever, Obama tells Americans", REAL
"#MemeOfTheWeek: The Strange, Sad Case Of #FeelTheChafe", REAL
"7 things to watch for on election night", REAL
"Victim Blaming the Planet", FAKE
"A standard dejection in the IRS help line", REAL
"Running on the Hillary Ticket? Then Let Me Ask…", FAKE
"Rand Paul wraps 'filibuster' over Patriot Act and NSA surveillance", REAL
"Fed lowers economic outlook but stays mum on rate plans", REAL
"World's newspapers react to 'Hebdo' attack", REAL
"CrossTalk on US election: Criminal in Chief?", FAKE
"Holding the Light: Visualizing the Future", FAKE
"Russian experts collecting evidence of anti-govt chemical attack in Aleppo – Defense Ministry", FAKE
"Rapper invited to meet with Obama on youth initiative has ankle monitor go off during meeting", FAKE
"Obama Imposes Sanctions On Venezuela, Invoking Emergency Powers", REAL
"Robin Roberts Says While She Was Dying from Cancer a ‘Familiar Voice’ Came From Her Nurse and Brought Her Back", FAKE
"Sanders: Democratic Party hasn't been fair to me", REAL
"VA program to provide private care stumbling out of the gate", REAL
"Voters have given up on trust: Kirsten Powers", REAL
"U.S. drone strike accidentally killed 2 hostages", REAL
"Going Back to the Future in 2016?", REAL
"Iran nuclear agreement: Is a 'better deal' possible – and at what cost? (+video)", REAL
"U-M’s New ‘Chief Diversity Officer’ Will Collect $385,000 per Year", FAKE
"The new war on the press: When satire sparks terrorism", REAL
"Vine 2013-2016: celebrate the life and death of an app with these 12 clips", FAKE
"Pentagon Retreats on Enlistment Bonus Collection Efforts", FAKE
"Arianna Huffington, journalist: echo chamber for Hillary Clinton", FAKE
"Hillary Clinton's Postapocalyptic Hellscape Plan??", FAKE
"Trader Joe’s Fires Employee For Non-Genuine Smile - The Onion - America's Finest News Source", FAKE
"Racist Sign Calls For Lynching Black People To Prevent Them From Getting Equal Rights", FAKE
"Democrats Playing Class Card To Split the White Vote", FAKE
"Leaked: What’s in Obama’s trade deal", REAL
"US military: 'Reasonably certain' airstrike killed notorious ISIS militant 'Jihadi John'", REAL
"Koch Brothers Helped Incite the Impending Bloodbath Among Republicans", FAKE
"The map is tough for any Republican. It’s completely daunting for Donald Trump.", REAL
"Former Clinton Foundation CEO begging Russia for ‘urgent and immediate’ asylum?", FAKE
"Truth is Out There: Astronomers Capture 234 Signals From Space", FAKE
"World War 3 Begins! Trump Elected", FAKE
"Lindsey Graham presidential bid bets on foreign policy", REAL
"Trump has a challenge with white women: ‘You just want to smack him’", REAL
"Tennessee Children with Brittle Bones Suffer in State Care as Mom Charged with SBS", FAKE
"November 10: Daily Contrarian Reads", FAKE
"Is Mitch McConnell next?", REAL
"Clinton emails: FBI director ignored Attorney General's advice not to 'take action that could influence election'", FAKE
"Work: It's not a four letter word, it's a world-changing vocation", REAL
"Supreme Court Rules Priests DO NOT Have to Report Child Abuse", FAKE
"Is It Time To Reconsider Lifetime Appointments To The Supreme Court?", REAL
"Halloween Costumes Mocking #NoDAPL Activists Hit Social Media", FAKE
"Dr. Duke and Dr. MacDonald Call for Prosecution of Hillary for Treasonous Support of ISIS.", FAKE
"What happened in this election?", FAKE
"Slain reporter's boyfriend calls for violence discussion", REAL
"Putin Takes On The NWO, October 2016", FAKE
"Mike Huckabee's daughter: Negative tone in GOP race helps Clinton", REAL
"The Old Democrat Wall Street Plus Identity Politics Playbook is Dead", FAKE
"8 POINTS VANISH IN 4 DAYS", FAKE
"Ashutosh attempts suicide at protest rally, rescued while proofreading suicide note", FAKE
"Obamacare Enrollees Anxiously Await Supreme Court Decision That Threatens Their Coverage", REAL
"Joe Giambrone on Hollywood’s Shameless & Underhanded Assault on Political Truth", FAKE
"The Daily 202: What Trump’s latest shakeup says about his flailing campaign", REAL
"Poll: Trump, Carson top GOP race, Clinton leads Dems but support drops", REAL
"What to watch for in the Indiana primary", REAL
"Bush donors await green light to jump ship", REAL
"Asda shoppers ‘just generally angry’", FAKE
"Links 11/12/16", FAKE
"Attacks on abortion providers have increased since the Planned Parenthood videos", REAL
"Immigration Puzzle Confounds Republican 2016 Field", REAL
"Candidate", FAKE
"Why the Iraq offensive will fail", REAL
"Marcus Mumford after Bundy verdict.", FAKE
"Is Clinton ready for the Wild West campaign of Donald Trump?", REAL
"Everything you need to know about our polarized politics (in the palm of your hand)", REAL
"Without Bold Agenda, Warn Progressives, A Clinton Presidency Won’t Stand Chance", FAKE
"Extreme rhetoric helping Cruz, Trump, Duke leaders say", REAL
"Must Read of the Day – The Clinton Presidency Is Going to Be a Miserable Slog", FAKE
"Ted Cruz isn't liked in Congress. What could that mean if he's president? (+video)", REAL
"I live in Iran. Here's how sanctions have shaped my life.", REAL
"Harvard Cancels Men’s Soccer Season After Finding Sexually Explicit ‘Reports’ Continued Through 2016", FAKE
"Stabbing Injures Seven People in Newark Home · Guardian Liberty Voice", FAKE
"Massive Spike In Obamacare Health Premiums Could Boost Trump To Victory", FAKE
"Alex Collier on Angels 2016-10-22 [VIDEO]", FAKE
"New O'Keefe Video: Clinton Campaign, DNC Coordinated With Organizations To Incite Violence At Trump Events", REAL
"Trump slams GOP nominating process as top aide accuses Cruz of 'gestapo tactics' to win delegates", REAL
"BREAKING: AP Finds Proof Melania Trump Illegally Worked In U.S. PRIOR To Getting Work Visa", FAKE
"Wisconsin primary: 5 things to watch", REAL
"New tensions erupt between the White House and Netanyahu", REAL
"The U.S. National Bird Is Now a Drone", FAKE
"SHOCK STATEMENT: Anthony Weiner SPEAKS, Drops LEGAL NUKE On Hillary", FAKE
"NBC's Baghdad Bob: There Is No FBI Investigation of Hillary | Frontpage Mag", FAKE
"Should Christians Celebrate Halloween?", FAKE
"Thousands of rape kits left untested despite federal pledge, critics blame DOJ", REAL
"5 Reasons Cruz Announced His Candidacy Early", REAL
"The Oil-Gas War Over Syria, in Maps", FAKE
"“I feel like these Topshop models are sick of me apologising, but also maybe willing to hear me out”", FAKE
"Rand Paul: I won the debate last night", REAL
"The Wild Ideas You Missed While Donald Trump Was Talking", REAL
"Donald Trump’s despotic fantasies: Here’s what the world would look like if he were president", REAL
"Santorum talks 2016, minimum wage increase", REAL
"Bobby Jindal governing like it's 2016", REAL
"The collapse of Rand Paul and the libertarian moment that never was", REAL
"New Poll Finds Donald Trump Almost Caught Up with Hillary Clinton", REAL
"Syria’s UN Envoy ‘Appalled’ By Rebel Attacks On Civilians In Aleppo", FAKE
"Many Opt to Take Social Security Before Full Retirement Age", REAL
"Obama: Gov. Scott Walker needs to ‘bone up’ on foreign policy", REAL
"AT&T Buying Time Warner: If Approved, Assures Greater Scoundrel Media Consolidation Than Already", FAKE
"Is This Why Comey Broke: A Stack Of Resignation Letters From Furious FBI Agents", FAKE
"A lawyer explains how Ariel could have got out of her contract with Ursula in The Little Mermaid", FAKE
"Netanyahu enters never-never land", REAL
"U.S. Economy Added A Robust 292,000 Jobs In December", REAL
"Genius Kid Trolled White House Halloween Party, Idiot Obama Didn’t Notice", FAKE
"State Department challenges Clinton claim that emails to officials ‘immediately’ saved", REAL
"Hillary Clinton: The criminal investigation keeps moving forward", REAL
"Congress moves to kill union election rules, setting up new Obama veto", REAL
"Trump: I'll Only Lose With 'Cheating,' Asks Supporters To Watch Polling Places", REAL
"The media unload on Donald Trump", REAL
"Trump’s Hitlerian disregard for the truth", REAL
"Bernie Sanders vs. the Lamestream Media", REAL
"John Kasich: He’s Conservative, but at Least He’s Sane", REAL
"True Believer? Why Donald Trump Is The Choice Of The Religious Right", REAL
"‘Paid for by O’Malley for President’ — and 9 other signs O’Malley is in", REAL
"Will it be representative government or thugocracy?", FAKE
"The joke was that Obama wasn’t joking", REAL
"Farmers: Trump 'terrible for agriculture'", REAL
"Carly Fiorina Says Donald Trump 'Taps Into an Anger'", REAL
"Why is #SpiritCooking Trending on Twitter?", FAKE
"Taxpayers Shell Out $100K to Pay for Cops Caught Eating Weed & Assaulting People in Pot Shop Video", FAKE
"French Politician Blames UK Welfare System For Calais Jungle Crisis", FAKE
"Even Fox News is outraged at Boehner and Netanyahu's plan to undermine Obama", REAL
"Hillary Fan SLEEPS At Rally! Snoozy Smurf Steals Show! (ABC News) Coconut Creek FLA", FAKE
"Protests Continue as Donald Trump Gears Up for the White House", REAL
"Purchasing Loyalty with Foreign Aid", FAKE
"Thousands march to mourn slain Boris Nemtsov", REAL
"Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO)", FAKE
"Re: WATCH and laugh: literally the BEST vine of Hillary from the 2016 campaign … so far", FAKE
"Johnson & Johnson Loses Yet Another Multimillion Dollar Case Over Baby Powder", FAKE
"Budgeting the Good War, for 75 Years", FAKE
"THE POLLS CAN NO LONGER BE RIGGED THIS ELECTION", FAKE
"Another Trump Surrogate Admits Trump Won’t Build That Effing Wall (VIDEO)", FAKE
"Spin, MSM! Spin! Hillary/FBI news has Republicans ‘pouncing’ like crazy", FAKE
"Another 4.6-Magnitude Tremor Hits Central Italy After Two Earthquakes", FAKE
"The Pathologization of Dissent", FAKE
"Americans Don't Like New Congress Any Better Than The Last One", REAL
"The scariest thing about Brussels is our reaction to it | Simon Jenkins", REAL
"White House still not telling America the truth about jobs, economy", REAL
"Mitt Romney: Donald Trump is a 'phony, a fraud'", REAL
"Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO)", FAKE
"Dreaming Beyond Capitalism: a Culture Without Fear", FAKE
"In Consideration of the Supreme Importance of Love", FAKE
"Aspartame Turns Into Formaldehyde And Methanol In The Body: Donald Rumsfeld Got It Legalized", FAKE
"US economy adds paltry 38,000 jobs in May for weakest growth since 2010", REAL
